Gap,AM,CBD,porous,x,y,z,res,tliq,tsol,CC/AM,CC/CBD,Active_Surface,porocal,pressure,sigma,tliq_racine,tsol_racine
1.0,93.0,7.0,40.0,50.0,50.0,96.2,1.0,6.982000000000001,2.095,32.28,20.13,56.5,0.36248060015981,174.20989644446,0.058094498937099,2.64234744119694,1.44741148261301
1.0,94.0,6.0,40.0,50.0,50.0,97.1,1.0,6.014,2.143,31.340000000000003,18.67,58.8,0.37091561348838,174.20989644446,0.069014727551297,2.45234581574459,1.46389890361322
1.0,95.0,5.0,40.0,50.0,50.0,97.9,1.0,5.529,2.154000000000001,34.21,15.770000000000001,59.8,0.37935062681695,174.20989644446,0.076775791537017,2.35138257202013,1.46765118471659
1.0,96.0,4.0,40.0,50.0,50.0,98.8,1.0,4.808,2.168,36.18,12.629999999999999,62.2,0.38778564014552,174.20989644446,0.090252107180291,2.19271521178652,1.47241298554448
11.0,93.0,7.0,40.0,50.0,50.0,96.1,1.0,7.066000000000001,2.096,34.1,20.02,56.389999999999986,0.36136796197981,132.510528403874,0.057227674703568,2.6581948762271,1.44775688566831
11.0,94.0,6.0,40.0,50.0,50.0,97.0,1.0,6.516,2.103,33.87,17.990000000000002,57.39999999999999,0.36980297530838,132.510528403874,0.063506680382148,2.55264568634192,1.4501724035438
11.0,95.0,5.0,40.0,50.0,50.0,97.8,1.0,5.557,2.146,37.55,14.920000000000002,59.7,0.37823798863695,132.510528403874,0.076164892799127,2.35732899697942,1.4649232061784
11.0,96.0,4.0,40.0,50.0,50.0,98.7,1.0,4.788,2.165,35.239999999999995,12.49,62.06,0.38667300196552,132.510528403874,0.090369066248834,2.18814990345726,1.47139389695622
21.0,93.0,7.0,40.0,50.0,50.0,96.1,1.0,7.158999999999999,2.094,30.57,20.7,56.39999999999999,0.36142256419981,100.432501272057,0.056492785212961,2.67563076675389,1.44706599711278
21.0,94.0,6.0,40.0,50.0,50.0,97.0,1.0,6.417999999999999,2.0970000000000004,31.669999999999998,18.58,57.39999999999999,0.36985757752838,100.432501272057,0.064485919173303,2.53337719260279,1.44810220633766
21.0,95.0,5.0,40.0,50.0,50.0,97.8,1.0,5.503,2.132,33.67999999999999,15.819999999999999,59.7,0.37829259085695,100.432501272057,0.076923388909491,2.34584739486609,1.46013697987552
21.0,96.0,4.0,40.0,50.0,50.0,98.7,1.0,4.795,2.1670000000000003,36.8,12.760000000000002,62.080000000000005,0.38672760418552,100.432501272057,0.090249883020563,2.18974884404582,1.47207336773681
31.0,93.0,7.0,40.0,50.0,50.0,96.3,1.0,7.048,2.104,32.519999999999996,19.91,56.5,0.36264440681981,75.7558725119257,0.057576488540205,2.65480696096722,1.4505171491575
31.0,94.0,6.0,40.0,50.0,50.0,97.1,1.0,6.042,2.141,34.53,17.699999999999996,58.8,0.37107942014838,75.7558725119257,0.068725235211195,2.45804800604057,1.46321563687653
31.0,95.0,5.0,40.0,50.0,50.0,98.0,1.0,5.47,2.1470000000000002,35.03000000000001,15.770000000000001,59.86999999999999,0.37951443347695,75.7558725119257,0.077637413356619,2.3388031127053,1.46526448124562
31.0,96.0,4.0,40.0,50.0,50.0,98.8,1.0,4.7989999999999995,2.164,36.989999999999995,12.8,62.2,0.38794944680552,75.7558725119257,0.090459560528314,2.19066200040079,1.47105404387466
41.0,93.0,7.0,40.0,50.0,50.0,96.5,1.0,6.869,2.105,30.330000000000002,20.71,56.81,0.36503348983981,56.7729093620084,0.059466075867047,2.62087771557545,1.45086181285469
41.0,94.0,6.0,40.0,50.0,50.0,97.3,1.0,5.861999999999999,2.152,32.290000000000006,17.7,59.10000000000001,0.37346850316838,56.7729093620084,0.071291582232245,2.42115674833332,1.46696966567138
41.0,95.0,5.0,40.0,50.0,50.0,98.2,1.0,5.162000000000001,2.184,34.32000000000001,15.460000000000003,61.48,0.38190351649695,56.7729093620084,0.082787685966697,2.27200352112403,1.47783625615289
41.0,96.0,4.0,40.0,50.0,50.0,99.0,1.0,4.49,2.229,36.589999999999996,12.239999999999998,63.89999999999999,0.39033852982552,56.7729093620084,0.097280359660302,2.11896201004171,1.49298358999689
