,Gap,AM,CBD,porous,x,y,z,res,tliq,tsol,"CC,AM","CC,CBD",Active_Surface,porocal,pressure,sigma,tliq_racine,tsol_racine
39,91,95,5,40,50,50,101,1,"3,99","2,472","33,01","13,83","69,6","0,41135753759695","10,5328702830664","0,115365685356137","1,99749843554382","1,57225952056268"
40,91,96,4,40,50,50,102,1,"3,709","2,449","32,89","11,996","70,86","0,41979255092552","10,5328702830664","0,126650812748896","1,92587642386525","1,56492811336496"
41,1,93,7,45,50,50,"87,7",1,"13,43","1,858","34,99","21,83","47,66","0,32666731371866","174,20989644446","0,02721822219294","3,66469644036174","1,3630847369111"
42,1,93,7,46,50,50,86,1,"16,87","1,812","33,84","23,34","45,7","0,31950465643043","174,20989644446","0,02119298817698","4,10731055558257","1,34610549363711"
43,1,93,7,47,50,50,"84,2",1,"18,26","1,801","36,18","22,12","45,1","0,3123419991422","174,20989644446","0,019140782970434","4,2731721238443","1,34201341274966"
44,1,93,7,48,50,50,"82,5",1,"25,29","1,757","34,13","24,29","43,2","0,30517934185397","174,20989644446","0,013503190333515","5,02891638427206","1,32551876637036"
45,1,93,7,49,50,50,"80,8",1,"36,31","1,713","34,91","24,73","41,4","0,29801668456574","174,20989644446","0,009184265216994","6,02577795807313","1,30881625906771"
46,1,93,7,50,50,50,"79,1",1,"39,75","1,702","39,22","23,39","40,9","0,29085402727751","174,20989644446","0,008187815258454","6,30476010645925","1,30460722058403"
47,1,94,6,45,50,50,"88,5",1,"10,668","1,889","33,12","20,85","49,7","0,33510232704723","174,20989644446","0,035149934754954","3,26619044147766","1,37440896388229"
48,1,94,6,46,50,50,"86,8",1,"12,96","1,842","35,1","20,54","47,7","0,327939669759","174,20989644446","0,028315161300951","3,6","1,35720300618588"
49,1,94,6,47,50,50,"85,1",1,"13,66","1,827","37,56","20,07","47,1","0,32077701247077","174,20989644446","0,026277414125534","3,69594372251527","1,35166563912826"
50,1,94,6,48,50,50,"83,4",1,"16,72","1,777","35,13","21,78","45,2","0,31361435518254","174,20989644446","0,020988903316344","4,08900966005217","1,33304163475865"
51,1,94,6,49,50,50,"81,6",1,"21,93","1,736","37,3","21,17","43,3","0,30645169789431","174,20989644446","0,01563700182142","4,68294778958724","1,31757352736005"
52,1,94,6,50,50,50,"79,9",1,"30,69","1,699","39,34","21,27","41,4","0,29928904060608","174,20989644446","0,010912493855921","5,53985559378582","1,30345694213503"
53,1,95,5,45,50,50,"89,4",1,"8,61","1,917","34,61","17,64","51,8","0,3435373403758","174,20989644446","0,044647884306681","2,93428015022424","1,38455769110572"
54,1,95,5,46,50,50,"87,6",1,"9,813","1,868","37,24","17,65","49,8","0,33637468308757","174,20989644446","0,038357614427289","3,13257082920722","1,36674796506159"
55,1,95,5,47,50,50,"85,9",1,"11,78","1,819","38,72","17,2","47,8","0,32921202579934","174,20989644446","0,031272347781788","3,4322004603461","1,3487030807409"
56,1,95,5,48,50,50,"84,2",1,"12,16","1,807","38,93","17,71","47,2","0,32204936851111","174,20989644446","0,029635957513481","3,48711915483254","1,34424700111252"
57,1,95,5,49,50,50,"82,5",1,"15,13","1,762","40,42","18,12","45,27","0,31488671122288","174,20989644446","0,023288713143318","3,88973006775534","1,32740348048361"
58,1,95,5,50,50,50,"80,8",1,"19,43","1,721","38,81","18,65","43,3","0,30772405393465","174,20989644446","0,017722244794281","4,40794736810684","1,31186889588861"
59,1,96,4,45,50,50,"90,2",1,"6,982","1,942","39,07","13,7",54,"0,35197235370437","174,20989644446","0,056410350013634","2,64234744119694","1,39355660093159"
60,1,96,4,46,50,50,"88,5",1,"7,886","1,896","39,27","14,12","51,9","0,34480969641614","174,20989644446","0,048927472773226","2,80820227191704","1,37695315824468"
61,1,96,4,47,50,50,"86,8",1,"9,002","1,846","39,18","14,82","49,8","0,33764703912791","174,20989644446","0,041971454874931","3,00033331481687","1,3586758259423"
62,1,96,4,48,50,50,85,1,"9,678","1,828","40,36","14,66","49,27","0,33048438183968","174,20989644446","0,03821161637514","3,11094840844396","1,35203550249245"
63,1,96,4,49,50,50,"83,3",1,"11,75","1,787","41,15","14,83","47,3","0,32332172455145","174,20989644446","0,030791234874304","3,42782730020052","1,33678719323608"
64,1,96,4,50,50,50,"81,6",1,"14,22","1,74","40,82","15,72","45,3","0,31615906726322","174,20989644446","0,024879183985059","3,77094152699296","1,31909059582729"
65,11,93,7,45,50,50,"87,9",1,"13,26","1,865","32,49","23,43","47,9","0,32915406694866","132,510528403874","0,027777028726663","3,64142829120662","1,36565002837477"
66,11,93,7,46,50,50,"86,3",1,"14,12","1,848","34,83","22,23","47,3","0,32271128794243","132,510528403874","0,025574641020367","3,75765884561119","1,35941163743731"
67,11,93,7,47,50,50,"84,6",1,18,"1,806","33,57","23,44","45,41","0,3162685089362","132,510528403874","0,019661358972201","4,24264068711929","1,34387499418659"
68,11,93,7,48,50,50,83,1,"23,11","1,765","34,36","23,39","43,6","0,30982572992997","132,510528403874","0,015001946853814","4,80728613668877","1,32853302555864"
69,11,93,7,49,50,50,"81,3",1,"24,71","1,752","36,13","23,21","43,1","0,30338295092374","132,510528403874","0,013738790857291","4,97091540865463","1,32363136862194"
70,11,93,7,50,50,50,"79,7",1,"37,06","1,711","33,22","25,58","41,3","0,29694017191751","132,510528403874","0,008965894559517","6,08769250208977","1,30805198673447"
71,11,94,6,45,50,50,"88,8",1,"10,256","1,9","36,67","19,05","49,92","0,33758908027723","132,510528403874","0,036833285962385","3,2024990241997","1,37840487520902"
72,11,94,6,46,50,50,"87,1",1,"10,754","1,883","36,71","18,78","49,3","0,331146301271","132,510528403874","0,03445719835617","3,27932919969923","1,37222447143315"
73,11,94,6,47,50,50,"85,5",1,"13,46","1,832","35,58","20,67","47,4","0,32470352226477","132,510528403874","0,026994297281893","3,66878726556883","1,35351394525509"
74,11,94,6,48,50,50,"83,8",1,"15,55","1,791","35,27","21,79","45,58","0,31826074325854","132,510528403874","0,022902493357319","3,94334883062607","1,33828248139173"
75,11,94,6,49,50,50,"82,2",1,"17,16","1,778","38,19","20,7","45,01","0,31181796425231","132,510528403874","0,020333584032537","4,1424630354416","1,33341666406266"
76,11,94,6,50,50,50,"80,5",1,"21,23","1,736","36,05","22,1","43,2","0,30537518524608","132,510528403874","0,016095847022627","4,60760241340331","1,31757352736005"
77,11,95,5,45,50,50,"89,6",1,"8,212","1,926","37,78","16,68","52,05","0,3460240936058","132,510528403874","0,047150628439466","2,86565873753313","1,38780402074645"
78,11,95,5,46,50,50,88,1,"9,62","1,878","38,87","17,13","50,1","0,33958131459957","132,510528403874","0,039500154993443","3,10161248385416","1,37040140105007"
79,11,95,5,47,50,50,"86,3",1,"10,179","1,859","36,84","18,04","49,49","0,33313853559334","132,510528403874","0,036622656580111","3,1904545130749","1,3634515026212"
80,11,95,5,48,50,50,"84,7",1,"12,19","1,815","37,76","17,98","47,6","0,32669575658711","132,510528403874","0,029989544841754","3,49141805001922","1,34721935853075"
81,11,95,5,49,50,50,83,1,"13,1","1,803","40,84","17,03","47,07","0,32025297758088","132,510528403874","0,027355960451374","3,61939221417077","1,34275835502893"
82,11,95,5,50,50,50,"81,4",1,"15,91","1,765","37,65","18,86","45,19","0,31381019857465","132,510528403874","0,022071251552799","3,98873413503583","1,32853302555864"
83,11,96,4,45,50,50,"90,4",1,"6,807","1,948","37,45","14,09","54,2","0,35445910693437","132,510528403874","0,058269390430375","2,609022805573","1,39570770578943"
84,11,96,4,46,50,50,"88,8",1,"7,687","1,897","39,18","14,27","52,2","0,34801632792814","132,510528403874","0,050660891238661","2,77254395817271","1,37731623093609"
85,11,96,4,47,50,50,"87,2",1,"7,976","1,888","41,15","13,87","51,6","0,34157354892191","132,510528403874","0,047921364248197","2,82418129729662","1,37404512298541"
86,11,96,4,48,50,50,"85,5",1,"9,367","1,843","40,95","14,32","49,6","0,33513076991568","132,510528403874","0,040035372214759","3,06055550513301","1,35757136092362"
87,11,96,4,49,50,50,"83,9",1,"10,88","1,795","40,18","15,14","47,66","0,32868799090945","132,510528403874","0,033805318182691","3,29848450049413","1,33977610069743"
88,11,96,4,50,50,50,"82,2",1,"11,73","1,781","42,29","14,31","47,2","0,32224521190322","132,510528403874","0,030741039396394","3,42490875790874","1,33454111963626"
89,21,93,7,45,50,50,"88,3",1,"11,76","1,908","33,61","22,04","49,5","0,33280806057866","100,432501272057","0,031667705764245","3,42928563989645","1,38130373198656"
90,21,93,7,46,50,50,"86,7",1,"13,65","1,861","33,84","22,49","47,7","0,32708515985443","100,432501272057","0,026813794423231","3,69459064038223","1,3641847382228"
91,21,93,7,47,50,50,"85,1",1,"14,19","1,846","33,46","23,54","47,15","0,3213622591302","100,432501272057","0,025342097813016","3,76696164036747","1,3586758259423"
92,21,93,7,48,50,50,"83,6",1,"18,02","1,808","34,91","23,03","45,4","0,31563935840597","100,432501272057","0,019600468482591","4,24499705535823","1,34461890511773"
93,21,93,7,49,50,50,82,1,"23,14","1,766","34,81","23,73","43,6","0,30991645768174","100,432501272057","0,01498688488098","4,81040538832228","1,32890932723042"
94,21,93,7,50,50,50,"80,4",1,"24,57","1,755","36,79","23,46","43,15","0,30419355695751","100,432501272057","0,013853992276575","4,95681349255749","1,32476412994918"
95,21,94,6,45,50,50,"89,1",1,"9,148","1,943","35,47","19,26","51,6","0,34124307390723","100,432501272057","0,041741473513576","3,02456608458139","1,39391534893623"
96,21,94,6,46,50,50,"87,6",1,"10,599","1,896","35,2","19,86","49,7","0,335520173183","100,432501272057","0,035422877044229","3,25561054181854","1,37695315824468"
97,21,94,6,47,50,50,86,1,"12,75","1,852","37,46","19,78","47,9","0,32979727245877","100,432501272057","0,028944560618146","3,57071421427143","1,36088206689632"
98,21,94,6,48,50,50,"84,4",1,"12,88","1,829","36,72","20,29","47,4","0,32407437173454","100,432501272057","0,028155219097124","3,58887168898527","1,35240526470433"
99,21,94,6,49,50,50,"82,8",1,"15,98","1,791","36,47","21,04","45,54","0,31835147101031","100,432501272057","0,022292571718432","3,99749921826134","1,33828248139173"
100,21,94,6,50,50,50,"81,3",1,"16,6","1,777","38,26","20,45","45,1","0,31262857028608","100,432501272057","0,021074178924706","4,07430975749267","1,33304163475865"
101,21,95,5,45,50,50,90,1,"8,243","1,936","36,59","17,03","52,4","0,3496780872358","100,432501272057","0,04746934121277","2,87106252108866","1,39140217047409"
102,21,95,5,46,50,50,"88,4",1,"8,444","1,915","37,27","17,23","51,87","0,34395518651157","100,432501272057","0,045580986938234","2,90585615610959","1,3838352503098"
103,21,95,5,47,50,50,"86,8",1,"9,763","1,877","37,11","17,74","49,9","0,33823228578734","100,432501272057","0,038766969967841","3,12457997177221","1,37003649586425"
104,21,95,5,48,50,50,"85,3",1,"10,184","1,862","38,54","16,94","49,4","0,33250938506311","100,432501272057","0,036535546139594","3,19123800428611","1,36455120827326"
105,21,95,5,49,50,50,"83,7",1,"12,06","1,816","37,47","18,2","47,58","0,32678648433888","100,432501272057","0,030321233497115","3,47275107083707","1,34759044223384"
106,21,95,5,50,50,50,"82,1",1,"12,82","1,805","38,82","17,82","47,1","0,32106358361465","100,432501272057","0,028024192672761","3,58050275799363","1,34350288425444"
107,21,96,4,45,50,50,"90,8",1,"6,809","1,967","38,62","13,41","54,6","0,35811310056437","100,432501272057","0,058852777137837","2,60940606268936","1,40249777183424"
108,21,96,4,46,50,50,"89,2",1,"6,969","1,946","38,72","14,09",54,"0,35239019984014","100,432501272057","0,056582670917078","2,63988636119057","1,39499103939774"
109,21,96,4,47,50,50,"87,7",1,"7,902","1,904","40,55",14,"52,1","0,34666729911591","100,432501272057","0,049091458834561","2,81104962602939","1,37985506485283"
110,21,96,4,48,50,50,"86,1",1,"8,183","1,887","38,53","14,3","51,56","0,34094439839168","100,432501272057","0,046623094439728","2,86059434383836","1,3736811857196"
111,21,96,4,49,50,50,"84,5",1,"9,352","1,841","41,88","14,01","49,6","0,33522149766745","100,432501272057","0,040110442246565","3,05810398776758","1,35683455144686"
112,21,96,4,50,50,50,"82,9",1,"11,52","1,8","40,09","14,73","47,7","0,32949859694322","100,432501272057","0,032005983505162","3,39411254969543","1,34164078649987"
113,31,93,7,45,50,50,"88,8",1,"10,921","1,924","32,8","22,04",50,"0,33762929460866","75,7558725119257","0,034594559167392","3,304693631791","1,38708327075198"
114,31,93,7,46,50,50,"87,3",1,"11,44","1,905","33,47","22,3","49,5","0,33262627216643","75,7558725119257","0,032535734139356","3,38230690505755","1,38021737418423"
115,31,93,7,47,50,50,"85,8",1,"13,26","1,861","33,86","23,08","47,7","0,3276232497242","75,7558725119257","0,027647844377178","3,64142829120662","1,3641847382228"
116,31,93,7,48,50,50,"84,3",1,"14,13","1,852","34,2","22,46","47,3","0,32262022728197","75,7558725119257","0,025549330101099","3,7589892258425","1,36088206689632"
117,31,93,7,49,50,50,"82,8",1,"17,78","1,804","33,3","23,31","45,5","0,31761720483974","75,7558725119257","0,019989519247226","4,2166337284616","1,34313067123047"
118,31,93,7,50,50,50,"81,3",1,"18,95","1,799","35,63","23,21","45,1","0,31261418239751","75,7558725119257","0,01845990871255","4,35315977193578","1,34126805672841"
119,31,94,6,45,50,50,"89,6",1,"8,606","1,953","36,12","18,94","52,1","0,34606430793723","75,7558725119257","0,044997206667646","2,93359847286571","1,39749776386225"
120,31,94,6,46,50,50,"88,1",1,"9,218","1,939","35,55","19,32","51,6","0,341061285495","75,7558725119257","0,041402427692439","3,03611593981521","1,39247980236699"
